Code,Human Development Index (UNDP),Country Name,min_SG.LAW.INDX,max_SG.LAW.INDX,min_SG.GEN.PARL.ZS,max_SG.GEN.PARL.ZS
AFG,0.498,Afghanistan,26.25,38.125,27.0161290322581,27.8688524590164
ALB,0.785,Albania,80,91.25,5.16129032258065,35.7142857142857
DZA,0.754,Algeria,40.625,57.5,3.42105263157895,31.6017316017316
AGO,0.581,Angola,62.5,79.375,15,38.6363636363636
ATG,0.78,Antigua and Barbuda,66.25,66.25,5.26315789473684,11.1111111111111
ARG,0.825,Argentina,65,79.375,26.4591439688716,44.7470817120623
ARM,0.755,Armenia,58.75,87.5,3.05343511450382,33.6448598130841
AUS,0.939,Australia,81.25,96.875,22.972972972973,31.1258278145695
AUT,0.908,Austria,78.75,96.875,26.775956284153,40.4371584699454
AZE,0.757,Azerbaijan,66.875,78.75,10.4838709677419,18.1818181818182
BHS,0.807,"Bahamas, The",73.125,81.25,12.1951219512195,20
BHR,0.846,Bahrain,28.75,65,0,15
BGD,0.608,Bangladesh,38.125,49.375,2,20.9169054441261
BRB,0.8,Barbados,70.625,80,10,20
BLR,0.808,Belarus,73.125,75.625,10.3092783505155,40
BEL,0.916,Belgium,75.625,100,23.3333333333333,42
BLZ,0.708,Belize,71.875,79.375,0,12.5
BEN,0.515,Benin,46.875,80.625,6.02409638554217,10.8433734939759
BTN,0.612,Bhutan,51.875,71.875,2.66666666666667,17.0212765957447
BOL,0.693,Bolivia,58.75,88.75,11.5384615384615,53.0769230769231
BIH,0.768,Bosnia and Herzegovina,66.875,88.125,7.14285714285714,26.1904761904762
BWA,0.717,Botswana,38.125,63.75,7.93650793650794,17.0212765957447
BRA,0.759,Brazil,56.875,85,5.65302144249513,15.2046783625731
BRN,0.853,Brunei Darussalam,46.875,53.125,6.45161290322581,9.09090909090909
BGR,0.813,Bulgaria,68.125,93.75,10.8333333333333,26.6666666666667
BFA,0.423,Burkina Faso,70.625,82.5,6.2992125984252,15.748031496063
BDI,0.417,Burundi,64.375,76.25,14.4067796610169,38.2113821138211
KHM,0.582,Cambodia,63.125,81.25,7.37704918032787,21.6
CMR,0.556,Cameroon,50.625,60,5.55555555555556,33.8888888888889
CAN,0.926,Canada,97.5,100,20.5980066445183,30.4733727810651
CPV,0.654,Cabo Verde,63.125,86.25,11.1111111111111,38.8888888888889
CAF,0.367,Central African Republic,58.75,76.875,7.19424460431655,12.8571428571429
TCD,0.404,Chad,57.5,66.25,2.4,32.258064516129
CHL,0.843,Chile,60.625,80,10.8333333333333,35.4838709677419
CHN,0.752,China,62.5,75.625,20.2345058626466,24.9411764705882
COL,0.747,Colombia,61.875,84.375,8.43373493975904,19.8795180722892
COM,0.503,Comoros,43.75,65,0,16.6666666666667
COG,0.606,"Congo, Rep.",49.375,49.375,7.2992700729927,12
CRI,0.794,Costa Rica,77.5,86.25,19.2982456140351,45.6140350877193
CIV,0.492,Cote d'Ivoire,69.375,83.125,8.52017937219731,14.1732283464567
HRV,0.831,Croatia,67.5,93.75,12.5827814569536,31.1258278145695
CYP,0.869,Cyprus,76.25,94.375,7.14285714285714,19.6428571428571
CZE,0.888,Czechia,73.125,93.75,15,25
COD,0.457,"Congo, Dem. Rep.",28.125,78.75,8.4,12.8
DNK,0.929,Denmark,91.25,100,36.8715083798883,39.6648044692737
DJI,0.476,Djibouti,53.125,68.125,0,26.1538461538462
DMA,0.715,Dominica,60,62.5,12.5,34.375
DOM,0.736,Dominican Republic,73.125,86.25,16.1073825503356,27.8947368421053
ECU,0.752,Ecuador,75.625,89.375,14.6341463414634,41.6058394160584
EGY,0.696,"Egypt, Arab Rep.",32.5,50.625,1.76211453744493,27.7027027027027
SLV,0.674,El Salvador,78.125,88.75,9.52380952380952,33.3333333333333
GNQ,0.591,Equatorial Guinea,46.25,51.875,5,24
ERI,0.44,Eritrea,66.25,69.375,14.6666666666667,22
EST,0.871,Estonia,63.75,97.5,17.8217821782178,29.7029702970297
SWZ,0.588,Eswatini,38.75,46.25,3.07692307692308,13.8461538461538
ETH,0.463,Ethiopia,50,76.875,7.6782449725776996,42.5882352941177
FJI,0.741,Fiji,57.5,82.5,5.71428571428571,21.5686274509804
FIN,0.92,Finland,85,97.5,36.5,47
FRA,0.901,France,86.25,100,10.9185441941075,39.6880415944541
GAB,0.702,Gabon,51.25,82.5,9.16666666666667,17.910447761194
GMB,0.46,"Gambia, The",53.75,69.375,2.04081632653061,13.2075471698113
GEO,0.78,Georgia,61.25,88.125,5.10948905109489,20.6666666666667
DEU,0.936,Germany,76.875,97.5,30.7475317348378,36.4500792393027
GHA,0.592,Ghana,57.5,75,7.89473684210526,14.5454545454545
GRC,0.87,Greece,73.125,100,8.66666666666667,21.6666666666667
GRD,0.772,Grenada,75,80.625,13.3333333333333,46.6666666666667
GTM,0.65,Guatemala,68.125,70.625,8.22784810126582,19.375
GIN,0.459,Guinea,46.875,73.75,8.7719298245614,22.8070175438596
GNB,0.455,Guinea-Bissau,40,42.5,7.84313725490196,14
GUY,0.654,Guyana,86.875,86.875,18.4615384615385,35.7142857142857
HTI,0.498,Haiti,58.75,61.25,0,11.1111111111111
HND,0.617,Honduras,63.75,75,5.46875,27.34375
HUN,0.838,Hungary,69.375,96.875,8.29015544041451,13.0653266331658
ISL,0.935,Iceland,94.375,100,30.1587301587302,47.6190476190476
IND,0.64,India,60,74.375,8.25688073394496,14.4444444444444
IDN,0.694,Indonesia,50,64.375,8,21.0434782608696
IRN,0.798,"Iran, Islamic Rep.",26.25,31.25,2.75862068965517,5.88235294117647
IRQ,0.685,Iraq,33.125,45,7.6,28.8753799392097
IRL,0.938,Ireland,95,100,12.0481927710843,22.5
ISR,0.903,Israel,75,80.625,12.5,28.3333333333333
ITA,0.88,Italy,76.875,97.5,9.84126984126984,35.7142857142857
JAM,0.732,Jamaica,59.375,68.125,11.6666666666667,28.5714285714286
JPN,0.909,Japan,73.75,78.75,7.08333333333333,11.25
JOR,0.735,Jordan,26.25,46.875,0,15.3846153846154
KAZ,0.8,Kazakhstan,64.375,72.5,10.3896103896104,27.1028037383178
KEN,0.59,Kenya,51.875,80.625,3.57142857142857,21.7765042979943
KIR,0.612,Kiribati,52.5,76.25,4.34782608695652,8.88888888888889
KWT,0.803,Kuwait,26.25,35,0,7.69230769230769
KGZ,0.672,Kyrgyz Republic,61.25,76.875,0,25.5555555555556
LAO,0.601,Lao PDR,68.125,88.125,21.2121212121212,27.5167785234899
LVA,0.847,Latvia,67.5,100,16,31
LBN,0.757,Lebanon,50,58.75,2.34375,4.6875
LSO,0.52,Lesotho,43.125,78.125,3.79746835443038,26.6666666666667
LBR,0.435,Liberia,63.75,81.25,5.26315789473684,12.5
LBY,0.706,Libya,38.75,50,4.73684210526316,16.5
LTU,0.858,Lithuania,73.75,93.75,10.6382978723404,27.6595744680851
LUX,0.904,Luxembourg,83.125,100,16.6666666666667,35
MDG,0.519,Madagascar,45.625,71.875,3.75,20.5298013245033
MWI,0.477,Malawi,56.875,77.5,9.32642487046632,22.9166666666667
MYS,0.802,Malaysia,46.875,50,9.1324200913242,14.8648648648649
MDV,0.717,Maldives,44.375,73.75,4.59770114942529,12
MLI,0.427,Mali,49.375,60.625,8.84353741496599,27.891156462585
